NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,LAST RESTART,CPU,MEM,CPU/RL,MEM/RL,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,SERVICE-ACCOUNT,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
default,c3-migrate-job-c7bjc,0,●,0/1,Completed,1,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.201.86.38,ip-10-201-66-180.eu-west-1.compute.internal,exec,<none>,<none>,BE,"app=c3-migrate-job,app.kubernetes.io/component=elisityservice,app.kubernetes.io/name=c3-migrate-job,app.kubernetes.io/organization=elisity,batch.kubernetes.io/controller-uid=de03a78b-5ab0-4a82-bcd0-ef0ac43dfc59,batch.kubernetes.io/job-name=c3-migrate-job,controller-uid=de03a78b-5ab0-4a82-bcd0-ef0ac43dfc59,job-name=c3-migrate-job",,4h26m
default,ds-data-exporter-policy-29128980-wmrwp,0,●,0/1,Completed,0,<unknown>,0,0,200:200,250:500,0,0,0,0,10.201.89.136,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=ds-data-exporter-policy,batch.kubernetes.io/controller-uid=6ade691c-55f3-40f6-a005-8708c269569a,batch.kubernetes.io/job-name=ds-data-exporter-policy-29128980,controller-uid=6ade691c-55f3-40f6-a005-8708c269569a,job-name=ds-data-exporter-policy-29128980",,118m
default,elisity-ad-connector-service-84db4ccb9c-fjg6j,0,●,2/2,Running,0,<unknown>,41,717,1050:1500,2098:2548,3,2,34,28,10.201.68.43,ip-10-201-66-180.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-ad-connector-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=ad-connector-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=84db4ccb9c",,4h17m
default,elisity-ad-connector-service-84db4ccb9c-nrpcs,0,●,2/2,Running,0,<unknown>,64,703,1050:1500,2098:2548,6,4,33,27,10.201.115.107,ip-10-201-119-111.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-ad-connector-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=ad-connector-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=84db4ccb9c",,4h17m
default,elisity-flows-service-85c78bbc89-zkhnz,0,●,2/2,Running,9,4m15s,717,3400,2050:2500,4146:4596,34,28,82,73,10.201.49.224,ip-10-201-53-63.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-flows-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=elisity-flows-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=false,pod-template-hash=85c78bbc89",,3h15m
default,elisity-ui2-service-5cc54c5866-nch2k,0,●,1/1,Running,0,<unknown>,0,34,50:500,50:500,0,0,68,6,10.201.122.106,ip-10-201-104-100.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=elisity-ui2-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=ui2,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=5cc54c5866",,4h17m
default,kafka-cluster-kafka-2,0,●,1/1,Running,0,<unknown>,117,5547,0:0,0:0,n/a,n/a,n/a,n/a,10.201.57.104,ip-10-201-46-237.eu-west-1.compute.internal,kafka-cluster-kafka,<none>,<none>,BE,"app.kubernetes.io/instance=kafka-cluster,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka,app.kubernetes.io/part-of=strimzi-kafka-cluster,statefulset.kubernetes.io/pod-name=kafka-cluster-kafka-2,strimzi.io/broker-role=true,strimzi.io/cluster=kafka-cluster,strimzi.io/component-type=kafka,strimzi.io/controller=strimzipodset,strimzi.io/controller-name=kafka-cluster-kafka,strimzi.io/controller-role=false,strimzi.io/kind=Kafka,strimzi.io/name=kafka-cluster-kafka,strimzi.io/pod-name=kafka-cluster-kafka-2,strimzi.io/pool-name=kafka",,6h30m
default,kafka-cluster-kafka-exporter-f4bdf8c6d-h6m2s,0,●,1/1,Running,0,<unknown>,13,15,0:0,0:0,n/a,n/a,n/a,n/a,10.201.57.99,ip-10-201-46-237.eu-west-1.compute.internal,kafka-cluster-kafka-exporter,<none>,<none>,BE,"app.kubernetes.io/instance=kafka-cluster,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka-exporter,app.kubernetes.io/part-of=strimzi-kafka-cluster,pod-template-hash=f4bdf8c6d,strimzi.io/cluster=kafka-cluster,strimzi.io/component-type=kafka-exporter,strimzi.io/kind=Kafka,strimzi.io/name=kafka-cluster-kafka-exporter",,6h30m
default,c3-migrate-job-89vx5,0,●,0/1,Completed,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.201.64.227,ip-10-201-71-29.eu-west-1.compute.internal,exec,<none>,<none>,BE,"app=c3-migrate-job,app.kubernetes.io/component=elisityservice,app.kubernetes.io/name=c3-migrate-job,app.kubernetes.io/organization=elisity,batch.kubernetes.io/controller-uid=b4020756-647a-4506-89d8-1fd0db40ea45,batch.kubernetes.io/job-name=c3-migrate-job,controller-uid=b4020756-647a-4506-89d8-1fd0db40ea45,job-name=c3-migrate-job",,45m
default,ccc-exporter-6d4745cf6c-xdsmj,0,●,1/1,Running,16,32m,86,32,50:500,200:200,172,17,16,16,10.201.68.41,ip-10-201-66-180.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=ccc-exporter,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=ccc-exporter,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=6d4745cf6c",,4h17m
