NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,LAST RESTART,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,SERVICEACCOUNT,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
cattle-logging-system,loki-backend-0,0,●,1/2,Running,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.220.121.29,ip-10-220-105-26.us-east-2.compute.internal,loki,<none>,<none>,BE,app.kubernetes.io/component=backend app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist apps.kubernetes.io/pod-index=0 controller-revision-hash=loki-backend-86f499cd9 statefulset.kubernetes.io/pod-name=loki-backend-0,container ready check failed: 1 of 2,22s
cattle-logging-system,loki-backend-1,0,●,2/2,Running,0,<unknown>,6,124,0:0,0:0,n/a,n/a,n/a,n/a,10.220.65.146,ip-10-220-66-235.us-east-2.compute.internal,loki,<none>,<none>,BE,app.kubernetes.io/component=backend app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist apps.kubernetes.io/pod-index=1 controller-revision-hash=loki-backend-86f499cd9 statefulset.kubernetes.io/pod-name=loki-backend-1,,2m55s
cattle-logging-system,loki-backend-2,0,●,2/2,Running,0,<unknown>,6,114,0:0,0:0,n/a,n/a,n/a,n/a,10.220.56.241,ip-10-220-40-220.us-east-2.compute.internal,loki,<none>,<none>,BE,app.kubernetes.io/component=backend app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist apps.kubernetes.io/pod-index=2 controller-revision-hash=loki-backend-86f499cd9 statefulset.kubernetes.io/pod-name=loki-backend-2,,4m24s
cattle-logging-system,loki-canary-bblvt,0,●,1/1,Running,0,<unknown>,1,15,0:0,0:0,n/a,n/a,n/a,n/a,10.220.49.1,ip-10-220-54-195.us-east-2.compute.internal,loki-canary,<none>,<none>,BE,app.kubernetes.io/component=canary app.kubernetes.io/instance=loki app.kubernetes.io/name=loki controller-revision-hash=559c87c5dc pod-template-generation=3,,58m
cattle-logging-system,loki-gateway-784579845b-kx4b2,0,●,1/1,Running,0,<unknown>,3,11,0:0,0:0,n/a,n/a,n/a,n/a,10.220.94.81,ip-10-220-66-235.us-east-2.compute.internal,loki,<none>,<none>,BE,app.kubernetes.io/component=gateway app.kubernetes.io/instance=loki app.kubernetes.io/name=loki pod-template-hash=784579845b,,60m
cattle-logging-system,loki-read-df47d5766-lmv57,0,●,1/1,Running,0,<unknown>,8,73,0:0,2500:2500,n/a,n/a,2,2,10.220.117.61,ip-10-220-105-26.us-east-2.compute.internal,loki,<none>,<none>,BU,app.kubernetes.io/component=read app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist pod-template-hash=df47d5766,,4m55s
cattle-logging-system,rancher-logging-root-fluentd-0,0,●,2/2,Running,0,<unknown>,27,186,500:0,95:0,5,n/a,195,n/a,10.220.89.188,ip-10-220-66-235.us-east-2.compute.internal,rancher-logging-root-fluentd,<none>,<none>,BU,app.kubernetes.io/component=fluentd app.kubernetes.io/managed-by=rancher-logging-root app.kubernetes.io/name=fluentd apps.kubernetes.io/pod-index=0 controller-revision-hash=rancher-logging-root-fluentd-58444f84b9 statefulset.kubernetes.io/pod-name=rancher-logging-root-fluentd-0,,6d10h
cattle-logging-system,loki-canary-xjrz4,0,●,1/1,Running,0,<unknown>,1,18,0:0,0:0,n/a,n/a,n/a,n/a,10.220.113.13,ip-10-220-105-26.us-east-2.compute.internal,loki-canary,<none>,<none>,BE,app.kubernetes.io/component=canary app.kubernetes.io/instance=loki app.kubernetes.io/name=loki controller-revision-hash=559c87c5dc pod-template-generation=3,,59m
cattle-logging-system,loki-read-df47d5766-s27wb,0,●,1/1,Running,0,<unknown>,9,76,0:0,2500:2500,n/a,n/a,3,3,10.220.55.184,ip-10-220-40-220.us-east-2.compute.internal,loki,<none>,<none>,BU,app.kubernetes.io/component=read app.kubernetes.io/instance=loki app.kubernetes.io/name=loki app.kubernetes.io/part-of=memberlist pod-template-hash=df47d5766,,4m15s
cattle-logging-system,rancher-logging-8474fdf984-m4m4b,0,●,1/1,Running,0,<unknown>,2,64,0:0,0:0,n/a,n/a,n/a,n/a,10.220.76.243,ip-10-220-66-235.us-east-2.compute.internal,rancher-logging,<none>,<none>,BE,app.kubernetes.io/instance=rancher-logging app.kubernetes.io/name=rancher-logging pod-template-hash=8474fdf984,,60m
