NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,LAST RESTART,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,SERVICEACCOUNT,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
kube-system,aws-node-k4psp,0,●,2/2,Running,0,<unknown>,2,65,50:0,0:0,4,n/a,n/a,n/a,10.218.82.133,ip-10-218-82-133.ec2.internal,aws-node,<none>,<none>,BU,app.kubernetes.io/instance=aws-vpc-cni app.kubernetes.io/name=aws-node controller-revision-hash=75c9c677b8 k8s-app=aws-node pod-template-generation=3,,6m15s
cattle-logging-system,loki-logs-z4qmj,0,●,2/2,Running,0,<unknown>,4,39,0:0,0:0,n/a,n/a,n/a,n/a,10.218.40.24,ip-10-218-53-71.ec2.internal,loki-grafana-agent,<none>,<none>,BE,app.kubernetes.io/instance=loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=79dcd75c5d grafana-agent=loki operator.agent.grafana.com/name=loki operator.agent.grafana.com/type=logs pod-template-generation=1,,21m
kube-system,efs-csi-node-j6kcz,0,●,3/3,Running,0,<unknown>,2,39,0:0,0:0,n/a,n/a,n/a,n/a,10.218.82.133,ip-10-218-82-133.ec2.internal,efs-csi-node-sa,<none>,<none>,BE,app=efs-csi-node app.kubernetes.io/instance=aws-efs-csi-driver app.kubernetes.io/name=aws-efs-csi-driver controller-revision-hash=86547f8f95 pod-template-generation=1,,6m15s
cattle-logging-system,loki-logs-8dj86,0,●,2/2,Running,0,<unknown>,4,33,0:0,0:0,n/a,n/a,n/a,n/a,10.218.127.225,ip-10-218-115-222.ec2.internal,loki-grafana-agent,<none>,<none>,BE,app.kubernetes.io/instance=loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=79dcd75c5d grafana-agent=loki operator.agent.grafana.com/name=loki operator.agent.grafana.com/type=logs pod-template-generation=1,,6m15s
cattle-logging-system,loki-canary-v7d4t,0,●,1/1,Running,0,<unknown>,1,15,0:0,0:0,n/a,n/a,n/a,n/a,10.218.34.146,ip-10-218-58-27.ec2.internal,loki-canary,<none>,<none>,BE,app.kubernetes.io/component=canary app.kubernetes.io/instance=loki app.kubernetes.io/name=loki controller-revision-hash=559c87c5dc pod-template-generation=1,,6m3s
cattle-logging-system,loki-logs-2g55b,0,●,2/2,Running,0,<unknown>,5,40,0:0,0:0,n/a,n/a,n/a,n/a,10.218.61.13,ip-10-218-60-198.ec2.internal,loki-grafana-agent,<none>,<none>,BE,app.kubernetes.io/instance=loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=79dcd75c5d grafana-agent=loki operator.agent.grafana.com/name=loki operator.agent.grafana.com/type=logs pod-template-generation=1,,21m
cattle-monitoring-system,sql-exporter-696c7d6f67-9hmrj,0,●,1/1,Running,0,<unknown>,1,15,250:500,64:256,0,0,24,6,10.218.82.186,ip-10-218-82-133.ec2.internal,default,<none>,<none>,BU,app=sql-exporter app.kubernetes.io/component=monitoring app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=sql-exporter app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=696c7d6f67,,5m3s
default,elisity-c3eventsmanager-service-5cf8477879-sbzv4,0,●,2/2,Running,0,<unknown>,7,490,50:500,150:1500,14,1,327,32,10.218.35.21,ip-10-218-58-27.ec2.internal,default,<none>,<none>,BU,admission.datadoghq.com/enabled=true app=elisity-c3eventsmanager-service app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=c3eventsmanager app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=5cf8477879,,18m
emissary-system,emissary-apiext-54b445b84b-x8bcw,0,●,1/1,Running,0,<unknown>,1,23,0:0,0:0,n/a,n/a,n/a,n/a,10.218.58.45,ip-10-218-38-218.ec2.internal,emissary-apiext,<none>,<none>,BE,app.kubernetes.io/instance=emissary-apiext app.kubernetes.io/managed-by=kubectl_apply_-f_emissary-apiext.yaml app.kubernetes.io/name=emissary-apiext app.kubernetes.io/part-of=emissary-apiext pod-template-hash=54b445b84b,,18m
kube-system,ebs-csi-node-df7kv,0,●,3/3,Running,0,<unknown>,1,26,30:0,120:768,3,n/a,22,3,10.218.64.106,ip-10-218-82-133.ec2.internal,ebs-csi-node-sa,<none>,<none>,BU,app=ebs-csi-node app.kubernetes.io/component=csi-driver app.kubernetes.io/instance=aws-ebs-csi-driver app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=aws-ebs-csi-driver app.kubernetes.io/version=1.26.1 controller-revision-hash=789fb667fc helm.sh/chart=aws-ebs-csi-driver-2.26.1 pod-template-generation=3,,6m15s
