NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,LAST RESTART,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,SERVICEACCOUNT,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
default,kafka-ui-845b687599-dslcx,0,●,1/1,Running,0,<unknown>,1,335,0:0,0:0,n/a,n/a,n/a,n/a,10.223.59.78,ip-10-223-52-205.us-east-2.compute.internal,default,<none>,<none>,BE,app=kafka-ui pod-template-hash=845b687599,,23m
default,route-injector-xjclk,0,●,1/1,Running,0,<unknown>,1,4,0:0,0:0,n/a,n/a,n/a,n/a,10.223.40.120,ip-10-223-40-120.us-east-2.compute.internal,default,<none>,<none>,BE,app=elisity-route-injector app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=route-injector app.kubernetes.io/organization=elisity controller-revision-hash=65b65d8d4b elisity.io/singleton=true pod-template-generation=2,,21m
default,elisity-logging-service-b96b7c6df-vpnk9,0,●,1/1,Running,4,18m,14,739,0:0,100:4000,n/a,n/a,739,18,10.223.58.18,ip-10-223-52-205.us-east-2.compute.internal,default,<none>,<none>,BU,app=elisity-logging-service app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=logging app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=b96b7c6df,,21m
default,kafka-cluster-kafka-exporter-865677f89f-jmrmt,0,●,1/1,Running,0,<unknown>,1,10,0:0,0:0,n/a,n/a,n/a,n/a,10.223.59.74,ip-10-223-52-205.us-east-2.compute.internal,kafka-cluster-kafka-exporter,<none>,<none>,BE,app.kubernetes.io/instance=kafka-cluster app.kubernetes.io/managed-by=strimzi-cluster-operator app.kubernetes.io/name=kafka-exporter app.kubernetes.io/part-of=strimzi-kafka-cluster pod-template-hash=865677f89f strimzi.io/cluster=kafka-cluster strimzi.io/component-type=kafka-exporter strimzi.io/kind=Kafka strimzi.io/name=kafka-cluster-kafka-exporter,,18m
default,ds-data-exporter-richflow-20250206081546-26306-flsgc,0,●,0/1,Completed,0,<unknown>,0,0,200:200,500:1024,0,0,0,0,10.223.62.80,ip-10-223-40-120.us-east-2.compute.internal,default,<none>,<none>,BU,batch.kubernetes.io/controller-uid=ffa66f2b-418e-4457-93a4-3bda9c948f60 batch.kubernetes.io/job-name=ds-data-exporter-richflow-20250206081546-26306 controller-uid=ffa66f2b-418e-4457-93a4-3bda9c948f60 job-name=ds-data-exporter-richflow-20250206081546-26306,,11m
default,elisity-c3eventsmanager-service-77bf785779-rccjq,0,●,2/2,Running,5,17m,10,606,50:500,150:1500,20,2,404,40,10.223.58.20,ip-10-223-52-205.us-east-2.compute.internal,default,<none>,<none>,BU,admission.datadoghq.com/enabled=true app=elisity-c3eventsmanager-service app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=c3eventsmanager app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=77bf785779,,21m
default,kafka-cluster-kafka-0,0,●,1/1,Running,0,<unknown>,33,3336,0:0,0:0,n/a,n/a,n/a,n/a,10.223.101.178,ip-10-223-103-166.us-east-2.compute.internal,kafka-cluster-kafka,<none>,<none>,BE,app.kubernetes.io/instance=kafka-cluster app.kubernetes.io/managed-by=strimzi-cluster-operator app.kubernetes.io/name=kafka app.kubernetes.io/part-of=strimzi-kafka-cluster statefulset.kubernetes.io/pod-name=kafka-cluster-kafka-0 strimzi.io/broker-role=true strimzi.io/cluster=kafka-cluster strimzi.io/component-type=kafka strimzi.io/controller=strimzipodset strimzi.io/controller-name=kafka-cluster-kafka strimzi.io/controller-role=false strimzi.io/kind=Kafka strimzi.io/name=kafka-cluster-kafka strimzi.io/pod-name=kafka-cluster-kafka-0 strimzi.io/pool-name=kafka,,21m
default,kafka-cluster-cruise-control-599969f5c5-9fnkm,0,●,1/1,Running,0,<unknown>,14,324,0:0,0:0,n/a,n/a,n/a,n/a,10.223.59.73,ip-10-223-52-205.us-east-2.compute.internal,kafka-cluster-cruise-control,<none>,<none>,BE,app.kubernetes.io/instance=kafka-cluster app.kubernetes.io/managed-by=strimzi-cluster-operator app.kubernetes.io/name=cruise-control app.kubernetes.io/part-of=strimzi-kafka-cluster pod-template-hash=599969f5c5 strimzi.io/cluster=kafka-cluster strimzi.io/component-type=cruise-control strimzi.io/kind=Kafka strimzi.io/name=kafka-cluster-cruise-control,,18m
default,elisity-keycloak-55555d4dc6-nmcmn,0,●,2/2,Running,3,18m,45,1029,50:500,150:2500,90,9,686,41,10.223.32.75,ip-10-223-52-205.us-east-2.compute.internal,exec,<none>,<none>,BU,admission.datadoghq.com/enabled=true app=elisity-keycloak app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=keycloak app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=55555d4dc6,,21m
default,e2e-post-upgrade-2025-02-06-08-19-24-m4fzw,0,●,0/1,Init:0/1,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.223.59.76,ip-10-223-52-205.us-east-2.compute.internal,e2e,<none>,<none>,BE,app=e2e-upgrade-verification app.kubernetes.io/component=systemservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=e2e-post-upgrade app.kubernetes.io/organization=elisity batch.kubernetes.io/controller-uid=1fd4be0e-8a47-4724-872c-ef02c323835e batch.kubernetes.io/job-name=e2e-post-upgrade-2025-02-06-08-19-24 controller-uid=1fd4be0e-8a47-4724-872c-ef02c323835e job-name=e2e-post-upgrade-2025-02-06-08-19-24,container ready check failed: 0 of 1,2m31s
default,postgres-ha-1,0,●,1/1,Running,0,<unknown>,96,905,1000:0,8192:0,9,n/a,11,n/a,10.223.32.68,ip-10-223-52-205.us-east-2.compute.internal,postgres-ha,<none>,<none>,BU,app.kubernetes.io/component=systemservices cnpg.io/cluster=postgres-ha cnpg.io/instanceName=postgres-ha-1 cnpg.io/instanceRole=primary cnpg.io/podRole=instance role=primary,,17m
default,elisity-serviceability-c9f5496ff-pl7rl,0,●,1/1,Running,0,<unknown>,1,95,0:0,100:4000,n/a,n/a,95,2,10.223.62.92,ip-10-223-40-120.us-east-2.compute.internal,serviceability,<none>,<none>,BU,admission.datadoghq.com/enabled=true app=elisity-serviceability app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=serviceability app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=c9f5496ff,,21m
default,timescaledb-db-creator-zrrcb,0,●,0/1,Completed,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.223.58.16,ip-10-223-52-205.us-east-2.compute.internal,default,<none>,<none>,BE,app=timescaledb-db-creator app.kubernetes.io/component=systemservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=timescaledb-db-creator app.kubernetes.io/organization=elisity batch.kubernetes.io/controller-uid=8557d363-3809-410d-97b0-72f629529f9b batch.kubernetes.io/job-name=timescaledb-db-creator controller-uid=8557d363-3809-410d-97b0-72f629529f9b job-name=timescaledb-db-creator,,23m
default,kafka-cluster-kafka-controller-4,0,●,1/1,Running,0,<unknown>,26,884,0:0,0:0,n/a,n/a,n/a,n/a,10.223.93.216,ip-10-223-74-232.us-east-2.compute.internal,kafka-cluster-kafka,<none>,<none>,BE,app.kubernetes.io/instance=kafka-cluster app.kubernetes.io/managed-by=strimzi-cluster-operator app.kubernetes.io/name=kafka app.kubernetes.io/part-of=strimzi-kafka-cluster statefulset.kubernetes.io/pod-name=kafka-cluster-kafka-controller-4 strimzi.io/broker-role=false strimzi.io/cluster=kafka-cluster strimzi.io/component-type=kafka strimzi.io/controller=strimzipodset strimzi.io/controller-name=kafka-cluster-kafka-controller strimzi.io/controller-role=true strimzi.io/kind=Kafka strimzi.io/name=kafka-cluster-kafka strimzi.io/pod-name=kafka-cluster-kafka-controller-4 strimzi.io/pool-name=kafka-controller,,22m
default,elisity-ad-connector-service-6b74499d77-5s5cm,0,●,2/2,Running,5,17m,26,1032,50:500,150:15500,52,5,688,6,10.223.32.78,ip-10-223-52-205.us-east-2.compute.internal,default,<none>,<none>,BU,admission.datadoghq.com/enabled=true app=elisity-ad-connector-service app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=ad-connector-service app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=6b74499d77,,21m
default,elisity-identity-graph-559d59557f-ds64v,0,●,2/2,Running,5,18m,77,1215,50:500,200:6550,154,15,607,18,10.223.101.177,ip-10-223-103-166.us-east-2.compute.internal,default,<none>,<none>,BU,admission.datadoghq.com/enabled=true app=elisity-identity-graph app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=identity-graph app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=559d59557f,,21m
default,elisity-nflowsearch-7c67c4c45d-4gmqn,0,●,1/1,Running,0,<unknown>,1,21,0:0,100:1000,n/a,n/a,21,2,10.223.62.84,ip-10-223-40-120.us-east-2.compute.internal,default,<none>,<none>,BU,app=elisity-nflowsearch app.kubernetes.io/component=elisityservices app.kubernetes.io/managed-by=Kustomize app.kubernetes.io/name=nflowsearch app.kubernetes.io/organization=elisity elisity.io/singleton=true pod-template-hash=7c67c4c45d,,21m
